DIA_SEMANA,ANIO_Y__MES_EVENTO,SEMANA_ANIO,DIA_EVENTO
Martes,200807,27,1
Lunes,200802,9,25
Domingo,200801,3,20
Miercoles,200707,28,11
Lunes,200411,46,8
Lunes,200601,3,16
Domingo,200903,10,8
Martes,200605,19,9
Sabado,200507,26,2
Viernes,200512,48,2
Lunes,200602,8,20
Jueves,200708,33,16
Martes,200909,36,1
Martes,201004,17,27
Lunes,201008,35,30
Sabado,200308,31,2
Domingo,200503,12,27
Lunes,200804,18,28
Martes,200503,11,15
Martes,200303,11,11
Martes,200703,13,27
Sabado,201012,51,25
Domingo,200507,26,3
Sabado,200603,9,4
Miercoles,201010,42,20
Domingo,200601,4,29
Viernes,200804,14,4
Lunes,200704,15,9
Lunes,200912,53,28
Jueves,200803,11,13
Miercoles,200709,38,19
Sabado,200607,28,15
Jueves,200301,3,16
Sabado,200605,19,13
Sabado,200711,47,24
Domingo,201011,44,7
Martes,201009,36,7
Domingo,200603,9,5
Jueves,200404,14,1
Sabado,200711,47,24
Lunes,200509,36,5
Martes,200512,50,13
Viernes,200807,30,25
Martes,200602,7,14
Sabado,201003,10,13
Martes,201105,22,31
Miercoles,201010,43,27
Domingo,200910,41,11
Miercoles,200211,48,27
Domingo,200412,52,26
Domingo,200912,49,6
Domingo,201001,3,24
Sabado,200809,38,20
Jueves,201006,22,3
Sabado,200209,36,7
Sabado,201008,32,14
Viernes,200804,14,4
Viernes,200509,35,2
Sabado,200507,26,2
Jueves,200412,51,16
Sabado,200211,45,9
Sabado,200701,4,27
Lunes,200705,20,14
Domingo,200607,30,30
Domingo,201010,41,17
Domingo,200711,45,11
Martes,200909,37,8
Lunes,200808,33,11
Viernes,200803,12,21
Jueves,201003,9,4
Viernes,200808,34,22
Lunes,200909,37,7
Jueves,200508,32,11
Viernes,200209,39,27
Lunes,200804,16,14
Lunes,200809,40,29
Jueves,200906,26,25
Lunes,200703,13,26
Jueves,200612,49,7
Martes,200303,10,4
Domingo,201006,22,6
Martes,200602,7,14
Lunes,201011,47,22
Domingo,200709,37,16
Lunes,200401,3,12
Viernes,200803,12,21
Viernes,200509,35,2
Jueves,200502,5,3
Domingo,200604,14,9
Viernes,200404,17,23
Martes,200912,49,1
Miercoles,200812,1,31
Miercoles,200505,21,25
Martes,200803,10,4
Lunes,201010,42,18
Jueves,200812,49,4
Sabado,200503,12,26
Viernes,200208,34,23
Martes,200802,7,12
Viernes,200812,50,12
Jueves,200705,21,24
Miercoles,200211,46,13
Domingo,200408,32,8
Domingo,200608,34,27
Viernes,200509,39,30
Miercoles,200507,28,13
Miercoles,200807,29,16
Viernes,200301,3,17
Domingo,200506,25,26
Martes,200807,31,29
Sabado,200402,8,21
Jueves,200611,48,30
Sabado,201006,22,5
Domingo,200905,19,10
Lunes,200902,8,16
Domingo,200807,30,27
Sabado,200604,13,1
Lunes,200912,52,21
Domingo,201011,47,28
Lunes,200706,26,25
Domingo,200809,39,28
Viernes,200512,50,16
Domingo,200810,43,26
Miercoles,200708,35,29
Jueves,200608,33,17
Martes,201005,21,25
Lunes,200610,41,9
Viernes,201010,40,8
Sabado,200604,14,8
Jueves,200707,29,19
Domingo,201010,41,17
Miercoles,200906,26,24
Martes,200302,9,25
Jueves,201001,4,28
Sabado,200907,27,4
Sabado,200806,24,14
Sabado,200509,36,10
Martes,200610,43,24
Sabado,200404,17,24
Sabado,200207,30,27
Domingo,200702,5,4
Domingo,200509,36,11
Jueves,200801,5,31
Sabado,201003,11,20
Jueves,201007,28,15
Lunes,200707,28,9
Domingo,200904,14,5
Domingo,200604,16,23
Sabado,200811,47,22
Martes,200212,50,10
Lunes,200702,6,5
Jueves,200808,32,7
Sabado,201009,37,18
Martes,200811,45,4
Martes,200711,45,6
Sabado,200510,41,15
Sabado,200601,3,21
Martes,200801,1,1
Jueves,200607,30,27
Domingo,200909,37,13
Sabado,200609,38,23
Jueves,201006,25,24
Domingo,200707,27,8
Miercoles,200902,9,25
Jueves,201009,39,30
Miercoles,200902,9,25
Lunes,200906,25,15
Sabado,200808,35,30
Viernes,200611,44,3
Viernes,201008,31,6
Lunes,201003,12,22
Domingo,200407,30,25
Sabado,200711,44,3
Jueves,200907,29,16
Lunes,200209,39,23
Viernes,200809,38,19
Domingo,200512,49,11
Miercoles,200802,6,6
Domingo,201003,9,7
Viernes,200804,17,25
Lunes,200405,21,17
Miercoles,200512,52,28
Viernes,201012,52,31
Domingo,200610,41,15
Sabado,200501,4,29
Jueves,200510,42,20
Martes,200811,48,25
Lunes,200303,10,3
Jueves,200910,42,15
Martes,200912,49,1
Viernes,200511,47,25
Miercoles,201011,45,10
Viernes,200211,47,22
Lunes,200905,20,11
Martes,200603,11,14
Viernes,200209,36,6
Viernes,200909,37,11
Viernes,200908,32,7
Lunes,200607,30,24
Sabado,200612,51,23
Jueves,200808,33,14
Viernes,200604,16,21
Domingo,200912,49,6
Domingo,200904,16,19
Domingo,200808,34,24
Jueves,200707,30,26
Sabado,200807,27,5
Viernes,200706,24,15
Sabado,200910,43,24
Martes,200808,35,26
Domingo,200707,26,1
Domingo,200910,41,11
Jueves,200711,47,22
Domingo,200604,15,16
Viernes,200612,52,29
Domingo,200505,17,1
Lunes,200711,47,19
Lunes,200509,38,19
Jueves,200504,17,28
Miercoles,200902,6,4
Viernes,200705,21,25
Domingo,200601,52,1
Domingo,201002,6,14
Domingo,200510,42,23
Lunes,200909,37,7
Sabado,200910,41,10
Lunes,200711,45,5
Miercoles,200507,28,13
Sabado,200702,8,24
Viernes,200404,15,9
Lunes,201008,32,9
Viernes,200609,35,1
Domingo,200404,14,4
Viernes,200712,49,7
Lunes,200510,44,31
Viernes,200805,22,30
Domingo,200511,45,13
Sabado,200208,32,10
Miercoles,200807,29,16
Sabado,200606,22,3
Domingo,200411,47,21
Viernes,201009,35,3
Lunes,200605,21,22
Domingo,200905,20,17
Jueves,200904,14,2
Martes,201012,52,28
Lunes,200806,25,16
Lunes,200502,9,28
Domingo,200303,12,23
Jueves,200810,44,30
Martes,200610,44,31
Domingo,200910,42,18
Martes,200601,3,17
Sabado,200703,11,17
Viernes,200611,47,24
Lunes,200505,19,9
Jueves,201011,45,11
Jueves,201005,19,13
Domingo,200511,45,13
Domingo,200907,27,5
Lunes,200602,8,20
Martes,200911,47,17
Viernes,200810,44,31
Sabado,200503,12,26
Domingo,200503,10,13
Sabado,200602,6,11
Domingo,200211,45,10
Martes,201002,8,23
Viernes,200906,24,12
Domingo,200906,24,14
Miercoles,200812,1,31
Lunes,200405,19,3
Jueves,200606,24,15
Viernes,200601,2,13
Miercoles,200611,45,8
Viernes,200509,37,16
Martes,200408,33,10
Domingo,201004,15,18
Miercoles,200701,3,17
Jueves,200702,8,22
Domingo,200909,37,13
Lunes,200906,24,8
Lunes,201007,27,5
Domingo,200609,36,10
Domingo,200505,20,22
Lunes,200509,36,5
Jueves,200606,24,15
Viernes,200603,9,3
Jueves,200805,18,1
Domingo,201009,35,5
Domingo,201010,40,10
Sabado,200207,30,27
Sabado,200509,35,3
Sabado,200507,27,9
Miercoles,200906,23,3
Domingo,200901,2,11
Jueves,200503,11,17
Martes,200908,33,11
Domingo,200905,20,17
Domingo,200905,19,10
Miercoles,200707,29,18
Lunes,200210,44,28
Domingo,201004,13,4
Domingo,200601,4,29
Jueves,200212,51,19
Viernes,200807,30,25
Martes,200606,26,27
Domingo,200607,30,30
Jueves,200512,50,15
Domingo,200603,11,19
Jueves,200806,26,26
Viernes,200808,33,15
Miercoles,201001,3,20
Domingo,200909,37,13
Viernes,200909,36,4
Lunes,201003,12,22
Domingo,201011,44,7
Martes,201007,28,13
Domingo,200908,32,9
Lunes,200805,22,26
Domingo,200604,14,9
Domingo,201006,23,13
Sabado,200506,22,4
Martes,200907,30,21
Sabado,200804,16,19
Martes,200902,8,17
Domingo,200709,37,16
Jueves,200606,23,8
Miercoles,200402,6,4
Sabado,200611,47,25
Martes,200611,48,28
Sabado,200903,11,14
Lunes,200509,39,26
Jueves,201007,29,22
Jueves,201004,13,1
Sabado,200712,48,1
Domingo,200711,46,18
Miercoles,201006,22,2
Lunes,200308,32,4
Sabado,201011,47,27
Martes,200808,35,26
Domingo,200806,22,1
Jueves,200707,30,26
Domingo,200903,11,15
Viernes,200911,46,13
Jueves,200708,33,16
Miercoles,201012,50,15
Jueves,200901,4,22
Domingo,200212,48,1
Lunes,200301,2,6
Domingo,200807,28,13
Sabado,200510,41,15
Domingo,200506,22,5
Sabado,200612,51,23
Jueves,200501,2,13
Viernes,200412,53,31
Jueves,200212,50,12
Domingo,200705,21,27
Sabado,200809,36,6
Miercoles,200212,52,25
Domingo,201010,41,17
Martes,200803,12,18
Lunes,200708,33,13
Miercoles,200607,27,5
Jueves,200311,48,27
Jueves,201008,33,19
Domingo,200607,29,23
Jueves,200609,38,21
Jueves,200401,5,29
Miercoles,200505,19,11
Lunes,200911,45,2
Lunes,200905,22,25
Domingo,200210,42,20
Domingo,201006,25,27
Domingo,200601,4,29
Sabado,200808,33,16
Martes,200806,26,24
Martes,200806,26,24
Domingo,200606,25,25
Sabado,200510,40,8
Viernes,201005,21,28
Viernes,200512,48,2
Lunes,200808,34,18
Domingo,200806,26,29
Domingo,200311,45,9
Lunes,200508,31,1
Viernes,200908,33,14
Viernes,200510,42,21
Sabado,200612,51,23
Viernes,201001,53,1
Lunes,200804,15,7
Domingo,201011,45,14
Lunes,200209,36,2
Domingo,201009,38,26
Jueves,200901,2,8
Martes,200606,26,27
Sabado,200603,12,25
Viernes,200507,26,1
Miercoles,201006,24,16
Jueves,200903,13,26
Viernes,200301,2,10
Viernes,200912,49,4
Lunes,200902,9,23
Domingo,200702,5,4
Martes,200612,51,19
Martes,201001,3,19
Miercoles,200912,52,23
Viernes,201012,52,31
Lunes,200812,1,29
Domingo,200506,24,19
Sabado,200904,15,11
Miercoles,200912,50,9
Viernes,201008,31,6
Sabado,200511,46,19
Viernes,200608,31,4
Viernes,201011,46,19
Lunes,200905,20,11
Jueves,201003,10,11
Martes,200610,41,10
Jueves,200911,45,5
Viernes,200811,47,21
Viernes,200211,45,8
Domingo,201006,23,13
Miercoles,200912,51,16
Jueves,200901,5,29
Sabado,201101,2,15
Lunes,200602,7,13
Jueves,201005,19,13
Viernes,200409,36,3
Jueves,200907,29,16
Miercoles,200602,8,22
Sabado,200811,45,8
Miercoles,200605,20,17
Sabado,200705,20,19
Sabado,200507,29,23
Sabado,201008,31,7
Miercoles,201011,45,10
Miercoles,200904,14,1
Sabado,201012,51,25
Sabado,200802,8,23
Domingo,201011,44,7
Domingo,200708,32,12
Sabado,200504,14,9
Jueves,200901,1,1
Miercoles,200603,9,1
Miercoles,200602,8,22
Sabado,200804,17,26
Jueves,200407,30,22
Domingo,200302,7,16
Domingo,200704,13,1
Lunes,200506,23,6
Sabado,200904,15,11
Jueves,200502,7,17
Viernes,200804,17,25
Viernes,200802,9,29
Viernes,200411,47,19
Viernes,200911,48,27
Sabado,200804,14,5
Miercoles,201010,43,27
Domingo,200606,23,11
Domingo,200610,40,8
Jueves,201009,35,2
Viernes,200802,5,1
Jueves,200706,25,21
Domingo,200702,8,25
Sabado,200809,36,6
Miercoles,200612,50,13
Sabado,200712,48,1
Miercoles,200908,32,5
Domingo,200905,20,17
Domingo,200207,27,7
Domingo,200505,17,1
Viernes,200510,40,7
Jueves,200806,23,5
Sabado,200812,49,6
Miercoles,201002,5,3
Viernes,200706,26,29
Sabado,200909,36,5
Domingo,200904,15,12
Martes,200610,42,17
Martes,200506,26,28
Sabado,200809,36,6
Jueves,200806,26,26
Viernes,200904,15,10
Martes,200707,30,24
Jueves,200707,27,5
Miercoles,200808,33,13
Miercoles,200603,11,15
Lunes,200809,39,22
Sabado,200211,45,9
Viernes,200309,36,5
Domingo,200706,22,3
Martes,200504,16,19
Domingo,201003,11,21
Miercoles,200907,29,15
Sabado,200804,17,26
Viernes,200810,42,17
Jueves,200506,22,2
Lunes,200508,33,15
Lunes,201010,42,18
Domingo,200907,28,12
Lunes,200612,52,25
Martes,200507,30,26
Miercoles,200912,51,16
Domingo,200606,22,4
Lunes,200711,45,5
Lunes,200207,31,29
Sabado,200310,42,18
Sabado,200309,38,20
Jueves,200407,27,1
Viernes,200603,9,3
Martes,200505,21,24
Domingo,200512,51,25
Miercoles,200804,14,2
Domingo,200212,51,22
Domingo,200711,44,4
Domingo,200808,31,3
Martes,200510,41,11
Sabado,201002,8,27
Miercoles,200910,43,21
Miercoles,200912,52,23
Miercoles,200602,6,8
Lunes,200912,52,21
Martes,200807,28,8
Jueves,200708,33,16
Sabado,200403,12,20
Domingo,200607,30,30
Domingo,200910,40,4
Domingo,200605,19,14
Sabado,200707,27,7
Domingo,200705,19,13
Miercoles,200511,45,9
Viernes,200907,30,24
Domingo,200901,4,25
Viernes,200801,3,18
Martes,200810,41,7
Lunes,200701,1,1
Jueves,200805,18,1
Miercoles,200908,32,5
Jueves,200401,1,1
Sabado,200601,3,21
Sabado,200207,29,20
Lunes,200605,20,15
Sabado,200612,51,23
Lunes,200805,19,5
Viernes,200603,9,3
Lunes,200902,7,9
Viernes,200305,21,23
Miercoles,200608,32,9
Viernes,200407,29,16
Viernes,200611,46,17
Domingo,200701,4,28
Domingo,200712,51,23
Lunes,200904,15,6
Sabado,200210,43,26
Jueves,200509,36,8
Domingo,200802,5,3
Martes,200710,44,30
Domingo,200811,46,16
Domingo,201002,6,14
Miercoles,200709,39,26
Viernes,200802,6,8
Domingo,200811,47,23
Domingo,200909,39,27
Sabado,200907,29,18
Jueves,201109,39,29
Miercoles,201107,28,13
Viernes,201102,5,4
Domingo,201109,35,4
Sabado,201101,52,1
Domingo,201103,9,6
Sabado,201109,35,3
Jueves,201103,13,31
Jueves,201104,14,7
Jueves,201109,35,1
Domingo,201106,22,5
Domingo,201112,51,25
Viernes,201112,48,2
Lunes,201110,41,10
Jueves,201105,19,12
Domingo,201103,9,6
Viernes,201106,25,24
Jueves,201102,8,24
Sabado,201110,43,29
Viernes,201104,15,15
Martes,201108,32,9
Sabado,201104,15,16
Domingo,201101,1,9
Jueves,201105,21,26
Sabado,201106,24,18
Viernes,201110,41,14
Miercoles,201102,7,16
Martes,201106,23,7
Viernes,201108,33,19
Viernes,201112,48,2
Viernes,201102,5,4
Domingo,201105,21,29
Sabado,201106,24,18
Viernes,201108,33,19
Miercoles,201112,51,21
Lunes,201111,46,14
Martes,201112,50,13
Miercoles,201111,45,9
Domingo,201105,20,22
Domingo,201103,12,27
Viernes,201104,15,15
Sabado,201108,33,20
Lunes,201107,27,4
Miercoles,201101,4,26
Sabado,201102,6,12
Sabado,201108,34,27
Lunes,201108,32,8
Lunes,201103,13,28
Miercoles,201111,46,16
Martes,201102,6,8
Martes,201103,13,29
Martes,201102,6,8
Domingo,201102,8,27
Martes,201104,17,26
Jueves,201103,11,17
Miercoles,201112,52,28
Lunes,201112,49,5
Domingo,201105,17,1
Lunes,201110,44,31
Jueves,201111,44,3
Domingo,201112,51,25
Miercoles,201110,41,12
Martes,201107,30,26
Martes,201111,48,29
Domingo,201111,45,13
Domingo,201105,17,1
Domingo,201107,28,17
Jueves,201101,2,13
Lunes,201102,7,14
Miercoles,201108,35,31
Miercoles,201108,32,10
Martes,201107,27,5
Jueves,201110,43,27
Lunes,201106,23,6
Sabado,201105,20,21
Domingo,201111,46,20
Jueves,201101,4,27
